Occupation_x	Occupation_y	summary	sampleTitles
Electronic Home Entertainment Equipment Installers and Repairers	Electronic Home Entertainment Equipment Installers and Repairers	Repair, adjust, or install audio or television receivers, stereo systems, camcorders, video systems, or other electronic home entertainment equipment.	Electronic Technician, Field Service Representative, Field Service Technician, Home Theater Installer, Installer, Low Voltage Electrician, Satellite Installer, Service Technician, Television Analyzer, Television Repairman
Fabric Menders, Except Garment	Fabric Menders, Except Garment	Repair tears, holes, and other defects in fabrics, such as draperies, linens, parachutes, and tents.	Awning Craftsman, Custom Marine Canvas Fabricator, Fabric Worker, Hand-Woven Carpet and Rug Mender, Mender, Perch Mender, Sail Maker, Sail Repair Person, Seamstress, Tarp Repairer
Farm Equipment Mechanics and Service Technicians	Farm Equipment Mechanics and Service Technicians	Diagnose, adjust, repair, or overhaul farm machinery and vehicles, such as tractors, harvesters, dairy equipment, and irrigation systems.	Agricultural Mechanic, Agricultural Technician, Agriculture Mechanic, Farm Equipment Mechanic, Farm Equipment Service Technician, Field Technician, Mechanic, Service Technician, Tractor Mechanic, Tractor Technician
First-Line Supervisors of Mechanics, Installers, and Repairers	First-Line Supervisors of Mechanics, Installers, and Repairers	Directly supervise and coordinate the activities of mechanics, installers, and repairers.	Crew Leader, Electrical Foreman, Facilities Manager, Facility Maintenance Supervisor, Maintenance Foreman, Maintenance Manager, Maintenance Planner, Maintenance Supervisor, Production Crew Supervisor, Superintendent
Geothermal Technicians	Geothermal Technicians	Perform technical activities at power plants or individual installations necessary for the generation of power from geothermal energy sources. Monitor and control operating activities at geothermal power generation facilities and perform maintenance and repairs as necessary. Install, test, and maintain residential and commercial geothermal heat pumps.	Control Operator; Control Room Operator (CRO); Instrument and Controls Technician (I & C Technician); Instrumentation and Electrical Technician (I & E Technician); Instrumentation, Control, and Electrical Technician (I C & E Technician); Maintenance Mechanic; Maintenance Technician; Mechanical Technician; Operations Technician; Operator Technician
Installation, Maintenance, and Repair Workers, All Other	Installation, Maintenance, and Repair Workers, All Other	All installation, maintenance, and repair workers not listed separately.	none
Heating and Air Conditioning Mechanics and Installers	Heating and Air Conditioning Mechanics and Installers	Install, service, or repair heating and air conditioning systems in residences or commercial establishments.	A/C Tech (Air Conditioning Technician); HVAC Installer (Heating, Ventilation, Air Conditioning Installer); HVAC Mechanic (Heating, Ventilation, Air Conditioning Mechanic); HVAC Service Tech (Heating, Ventilation, Air Conditioning Service Technician); HVAC Service Technician (Heating, Ventilation, Air Conditioning Service Technician); HVAC Specialist (Heating, Ventilation, and Air Conditioning Specialist); HVAC Technician (Heating, Ventilation, Air Conditioning Technician); HVAC Technician (Heating, Ventilation, and Air Conditioning Technician); Service Technician; Systems Mechanic
Heating, Air Conditioning, and Refrigeration Mechanics and Installers	Heating, Air Conditioning, and Refrigeration Mechanics and Installers	Install or repair heating, central air conditioning, or refrigeration systems, including oil burners, hot-air furnaces, and heating stoves.	none
Refrigeration Mechanics and Installers	Refrigeration Mechanics and Installers	Install and repair industrial and commercial refrigerating systems.	Ammonia Refrigeration Technician; Heating, Ventilation, Air Conditioning / Refrigeration Technician (HVAC / R Technician); Heating, Ventilation, Air Conditioning Service Technician (HVAC Service Technician); Heating, Ventilation, Air Conditioning Technician (HVAC Technician); HVAC/R Service Technician (Heating, Ventilation, and Air Conditioning/Refrigeration Service Technician); Refrigeration Mechanic; Refrigeration Operator; Refrigeration Technician; Service Technician; Transportation Refrigeration Technician
Helpers--Installation, Maintenance, and Repair Workers	Helpers--Installation, Maintenance, and Repair Workers	Help installation, maintenance, and repair workers in maintenance, parts replacement, and repair of vehicles, industrial machinery, and electrical and electronic equipment. Perform duties such as furnishing tools, materials, and supplies to other workers; cleaning work area, machines, and tools; and holding materials or tools for other workers.	Building Equipment Operator (BEO), Facilities Maintenance Technician, General Maintenance Mechanic, Helper, Maintenance Helper, Maintenance Mechanic, Maintenance Technician, Mechanic Helper, Trades Helper, Well Tender
Home Appliance Repairers	Home Appliance Repairers	Repair, adjust, or install all types of electric or gas household appliances, such as refrigerators, washers, dryers, and ovens.	Appliance Service Technician, Appliance Technician, Refrigerator Repairman, Repair Technician, Service Technician, Vacuum Repairer, Washer Repairman
Industrial Machinery Mechanics	Industrial Machinery Mechanics	Repair, install, adjust, or maintain industrial production and processing machinery or refinery and pipeline distribution systems.	Fixer, Industrial Machinery Mechanic, Industrial Mechanic, Loom Fixer, Machine Adjuster, Maintenance Mechanic, Maintenance Technician, Master Mechanic, Mechanic, Overhauler
Locksmiths and Safe Repairers	Locksmiths and Safe Repairers	Repair and open locks; make keys; change locks and safe combinations; and install and repair safes.	Certified Master Locksmith (CML), Certified Master Safe Technician (CMST), Certified Master Safecracker (CMS), Certified Registered Locksmith (CRL), Forensic Locksmith, Lock Technician, Locksmith, Road Service Locksmith, Safe Technician, Service Technician
Maintenance and Repair Workers, General	Maintenance and Repair Workers, General	Perform work involving the skills of two or more maintenance or craft occupations to keep machines, mechanical equipment, or the structure of an establishment in repair. Duties may involve pipe fitting; boiler making; insulating; welding; machining; carpentry; repairing electrical or mechanical equipment; installing, aligning, and balancing new equipment; and repairing buildings, floors, or stairs.	Building Maintenance Mechanic, Building Mechanic, Equipment Engineering Technician, Facilities Manager, Maintenance Engineer, Maintenance Man, Maintenance Mechanic, Maintenance Supervisor, Maintenance Technician, Maintenance Worker
Maintenance Workers, Machinery	Maintenance Workers, Machinery	Lubricate machinery, change parts, or perform other routine machinery maintenance.	Lubricator, Machine Repairer, Maintainer, Maintenance Electrician, Maintenance Man, Maintenance Mechanic, Maintenance Technician, Maintenance Worker, Oiler, Overhauler
Manufactured Building and Mobile Home Installers	Manufactured Building and Mobile Home Installers	Move or install mobile homes or prefabricated buildings.	Delivery Crew Worker, Master Craftsman, Mobile Home Installer, Mobile Home Laborer, Mobile Home Set-Up Person, Modular Set Crew Member, Set Up Technician
Mechanical Door Repairers	Mechanical Door Repairers	Install, service, or repair automatic door mechanisms and hydraulic doors. Includes garage door mechanics.	Commercial Door Installer, Commercial Installer, Door Installer, Door Technician, Garage Door Installer, Garage Door Technician, Installation Technician, Installer, Residential Door Installer, Service Technician
Medical Equipment Repairers	Medical Equipment Repairers	Test, adjust, or repair biomedical or electromedical equipment.	Bio Medical Technician, Biomed Tech (Biomedical Technician), Biomedical Electronics Technician, Biomedical Engineering Technician (BMET), Biomedical Equipment Technician (BMET), Dental Equipment Technician, Electronic Technician, Repair Technician, Service Technician, X-ray Service Engineer
Millwrights	Millwrights	Install, dismantle, or move machinery and heavy equipment according to layout plans, blueprints, or other drawings.	Maintenance Mechanic, Maintenance Millwright, Millwright, Millwright Instructor, Precision Millwright
Mobile Heavy Equipment Mechanics, Except Engines	Mobile Heavy Equipment Mechanics, Except Engines	Diagnose, adjust, repair, or overhaul mobile mechanical, hydraulic, and pneumatic equipment, such as cranes, bulldozers, graders, and conveyors, used in construction, logging, and surface mining.	Construction Equipment Mechanic, Diesel Mechanic, Equipment Technician, Field Mechanic, Field Service Technician, Field Technician, Heavy Equipment Mechanic, Heavy Equipment Technician, Mechanic, Mobile Heavy Equipment Mechanic
Motorboat Mechanics and Service Technicians	Motorboat Mechanics and Service Technicians	Repair and adjust electrical and mechanical equipment of inboard or inboard-outboard boat engines.	Boat Mechanic, Boat Motor Mechanic, Boat Rigger, Marine Mechanic, Marine Propulsion Technician, Marine Technician, Mechanic, Outboard Motor Mechanic, Outboard Technician, Service Technician
Motorcycle Mechanics	Motorcycle Mechanics	Diagnose, adjust, repair, or overhaul motorcycles, scooters, mopeds, dirt bikes, or similar motorized vehicles.	All Terrain Vehicle Technician (ATV Technician), Custom Bike Builder, Master Motorcycle Technician, Motorcycle Mechanic, Motorcycle Service Technician, Motorcycle Technician, Motorsports Technician, Scooter Mechanic, Service Technician, Shop Foreman
Musical Instrument Repairers and Tuners	Musical Instrument Repairers and Tuners	Repair percussion, stringed, reed, or wind instruments. May specialize in one area, such as piano tuning.	Banjo Repair Person, Brass Instrument Repair Technician, Fretted String Instrument Repairer, Guitar Repairer, Instrument Repair Technician, Luthier, Mandolin Repair Person, Piano Technician, Piano Tuner, Stringed Instrument Repairer
Outdoor Power Equipment and Other Small Engine Mechanics	Outdoor Power Equipment and Other Small Engine Mechanics	Diagnose, adjust, repair, or overhaul small engines used to power lawn mowers, chain saws, recreational sporting equipment and related equipment.	Golf Cart Mechanic, Lawnmower Repair Mechanic, Mechanic, Outdoor Power Equipment Service Technician, Service Technician, Small Engine Mechanic, Small Engine Technician
Precision Instrument and Equipment Repairers, All Other	Precision Instrument and Equipment Repairers, All Other	All precision instrument and equipment repairers not listed separately.	none
Radio Mechanics	Radio Mechanics	Test or repair mobile or stationary radio transmitting and receiving equipment and two-way radio communications systems used in ship-to-shore communications and found in service and emergency vehicles.	Electronics Technician, Field Service Technician, Field Technician, Radio Frequency Technician, Radio Repairman, Radio Technician, Two-Way Radio Technician
Radio, Cellular, and Tower Equipment Installers and Repairers	Radio, Cellular, and Tower Equipment Installers and Repairers	Repair, install or maintain mobile or stationary radio transmitting, broadcasting, and receiving equipment, and two-way radio communications systems used in cellular telecommunications, mobile broadband, ship-to-shore, aircraft-to-ground communications, and radio equipment in service and emergency vehicles. May test and analyze network coverage.	Avionics Repair Technician, Avionics Technician, Communications Tower Technician, Field Service Technician, Installation Technician (Installation Tech), Installer, Radio Technician, Tower Climber, Tower Hand, Tower Technician
Rail Car Repairers	Rail Car Repairers	Diagnose, adjust, repair, or overhaul railroad rolling stock, mine cars, or mass transit rail cars.	Air Brake Mechanic, Car Repairman, Carman, Rail Car Maintenance Mechanic, Rail Car Mechanic, Rail Car Painter/Sandblaster, Rail Car Repairer, Rail Car Repairman, Rail Car Welder, Railroad Car Repairman
Recreational Vehicle Service Technicians	Recreational Vehicle Service Technicians	Diagnose, inspect, adjust, repair, or overhaul recreational vehicles including travel trailers. May specialize in maintaining gas, electrical, hydraulic, plumbing, or chassis/towing systems as well as repairing generators, appliances, and interior components. Includes workers who perform customized van conversions.	Hitch Technician, Master Certified RV Technician (Master Certified Recreational Vehicle Technician), Mobile Service RV Technician (Mobile Service Recreational Vehicle Technician), RV Body Mechanic (Recreational Vehicle Body Mechanic), RV Parts and Service Director (Recreational Vehicle Parts and Service Director), RV Repair Technician (Recreational Vehicle Repair Technician), RV Service Technician (Recreational Vehicle Service Technician), RV Technician (Recreational Vehicle Technician), RVDA Master Certified RV Technician (Recreational Vehicle Dealer Association Master Certified Recreational Vehicle Technician), Service Technician
Refractory Materials Repairers, Except Brickmasons	Refractory Materials Repairers, Except Brickmasons	Build or repair equipment such as furnaces, kilns, cupolas, boilers, converters, ladles, soaking pits and ovens, using refractory materials.	Bricker, Cell Reliner, Cupola Repairer, Furnace Repairer, Hot Repairman, Ladle Liner, Ladle Repairman, Refractory Bricklayer, Refractory Technician, Refractory Worker
Riggers	Riggers	Set up or repair rigging for construction projects, manufacturing plants, logging yards, ships and shipyards, or for the entertainment industry.	Gantry Rigger, Hand Rigger, Heavy Lift Rigger, Machinery Erector, Machinery Mover, Marine Rigger, Rigger, Rigging Foreman, Rigging Supervisor, Ship Rigger
Security and Fire Alarm Systems Installers	Security and Fire Alarm Systems Installers	Install, program, maintain, or repair security or fire alarm wiring and equipment. Ensure that work is in accordance with relevant codes.	Alarm Technician, Fire Alarm Technician, Home Security Alarm Installer, Install Technician, Installation Technician, Installer, Security Installation Technician, Security Installer, Security Technician, Service Technician
Signal and Track Switch Repairers	Signal and Track Switch Repairers	Install, inspect, test, maintain, or repair electric gate crossings, signals, signal equipment, track switches, section lines, or intercommunications systems within a railroad system.	Signal and Communications Maintainer, Signal Inspector, Signal Maintainer, Signal Maintenance Technician, Signal Supervisor, Signal System Testing Maintainer, Signal Technician, Signalman, Train Control Electronic Technician, Train Control Technician
Telecommunications Equipment Installers and Repairers, Except Line Installers	Telecommunications Equipment Installers and Repairers, Except Line Installers	Install, set-up, rearrange, or remove switching, distribution, routing, and dialing equipment used in central offices or headends. Service or repair telephone, cable television, Internet, and other communications equipment on customers' property. May install communications equipment or communications wiring in buildings.	Central Office Technician, Combination Technician, Communications Technician, Customer Service Technician (CST), Field Technician, Install / Repair Technician, Installer, Outside Plant Technician, Service Technician, Telecommunications Technician
Telecommunications Line Installers and Repairers	Telecommunications Line Installers and Repairers	Install and repair telecommunications cable, including fiber optics.	Cable Splicer, Cable Technician, Cable Television Technician (CATV Technician), Combination Technician, Field Service Technician, Installation and Repair Technician (I & R Technician), Installer, Lineman, Outside Plant Technician, Service Technician
Tire Repairers and Changers	Tire Repairers and Changers	Repair and replace tires.	Alignment Technician, Lube Technician, Service Technician, Tire Buster, Tire Center Supervisor, Tire Changer, Tire Installer, Tire Repairer, Tire Shop Mechanic, Tire Technician
Watch Repairers	Watch Repairers	Repair, clean, and adjust mechanisms of timing instruments, such as watches and clocks. Includes watchmakers, watch technicians, and mechanical timepiece repairers.	Antique Clock Repairer, Clock Repair Technician, Clock Repairer, Clock Smith, Watch and Clock Repairer, Watch Repair Person
Wind Turbine Service Technicians	Wind Turbine Service Technicians	Inspect, diagnose, adjust, or repair wind turbines. Perform maintenance on wind turbine equipment including resolving electrical, mechanical, and hydraulic malfunctions.	Field Service Technician; Lead Technician; Maintenance Technician; Operations, Maintenance and Service Wind Turbine Technician (OMS Wind Turbine Technician); Senior Wind Turbine Technician; Technician; Wind Farm Support Specialist; Wind Technician; Wind Turbine Service Technician; Wind Turbine Technician
Administrative Law Judges, Adjudicators, and Hearing Officers	Administrative Law Judges, Adjudicators, and Hearing Officers	Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements.	Adjudicator, Administrative Hearing Officer, Administrative Judge, Administrative Law Judge, Appeals Examiner, Appeals Referee, Claims Adjudicator, Hearing Officer, Judge, Workers' Compensation Hearings Officer
Arbitrators, Mediators, and Conciliators	Arbitrators, Mediators, and Conciliators	Facilitate negotiation and conflict resolution through dialogue. Resolve conflicts outside of the court system by mutual consent of parties involved.	Alternative Dispute Resolution Coordinator (ADR Coordinator), Alternative Dispute Resolution Mediator (ADR Mediator), Arbiter, Arbitrator, Commissioner, Family Mediator, Federal Mediator, Labor Arbitrator, Mediator, Public Employment Mediator
Court Reporters	Court Reporters	Use verbatim methods and equipment to capture, store, retrieve, and transcribe pretrial and trial proceedings or other information. Includes stenocaptioners who operate computerized stenographic captioning equipment to provide captions of live or prerecorded broadcasts for hearing-impaired viewers.	Certified Shorthand Reporter (CSR), Court Recording Monitor, Court Reporter, Court Stenographer, Deposition Reporter, Digital Court Reporter, Freelance Court Reporter, Official Court Reporter, Realtime Court Reporter, Stenographer
Judges, Magistrate Judges, and Magistrates	Judges, Magistrate Judges, and Magistrates	Arbitrate, advise, adjudicate, or administer justice in a court of law. May sentence defendant in criminal cases according to government statutes or sentencing guidelines. May determine liability of defendant in civil cases. May perform wedding ceremonies.	Circuit Court Judge, Circuit Judge, County Judge, Court of Appeals Judge, District Court Judge, Judge, Justice of the Peace, Magistrate, Municipal Court Judge, Superior Court Judge
Judicial Law Clerks	Judicial Law Clerks	Assist judges in court or by conducting research or preparing legal documents.	Appellate Law Clerk, Career Law Clerk, Child Support Officer, Clerk to Justice, Deputy Clerk, Federal Law Clerk, Judicial Assistant, Judicial Clerk, Judicial Law Clerk, Law Clerk
Lawyers	Lawyers	Represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, or manage or advise clients on legal transactions. May specialize in a single area or may practice broadly in many areas of law.	Assistant Attorney General, Assistant Counsel, Associate Attorney, Attorney, Attorney at Law, City Attorney, Deputy Attorney General, General Counsel, Lawyer, Partner
Legal Support Workers, All Other	Legal Support Workers, All Other	All legal support workers not listed separately.	none
Paralegals and Legal Assistants	Paralegals and Legal Assistants	Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.	Certified Paralegal, Immigration Paralegal, Law Clerk, Legal Analyst, Legal Assistant, Legal Clerk, Paralegal, Paralegal Specialist, Real Estate Paralegal, Summer Law Associate
Title Examiners, Abstractors, and Searchers	Title Examiners, Abstractors, and Searchers	Search real estate records, examine titles, or summarize pertinent legal or insurance documents or details for a variety of purposes. May compile lists of mortgages, contracts, and other instruments pertaining to titles by searching public and private records for law firms, real estate agencies, or title insurance companies.	Abstracter, Advisory Title Officer, Commercial Title Examiner, Counsel, Searcher, Title Abstractor, Title Department Manager, Title Examiner, Title Officer, Title Searcher
Agricultural and Food Science Technicians	Agricultural and Food Science Technicians	Work with agricultural and food scientists in food, fiber, and animal research, production, and processing; and assist with animal breeding and nutrition. Conduct tests and experiments to improve yield and quality of crops or to increase the resistance of plants and animals to disease or insects. Includes technicians who assist food scientists or technologists in the research and development of production technology, quality control, packaging, processing, and use of foods.	none
Agricultural Technicians	Agricultural Technicians	Set up or maintain laboratory equipment and collect samples from crops or animals. Prepare specimens or record data to assist scientists in biology or related life science experiments.	Agricultural Research Technician, Agricultural Research Technologist, Agricultural Technician, Laboratory Technician (Lab Tech), Research Assistant, Research Associate, Research Specialist, Research Technician, Seed Analyst, Senior Agricultural Assistant
Food Science Technicians	Food Science Technicians	Perform standardized qualitative and quantitative tests to determine physical or chemical properties of food or beverage products.	Central Lab Technician (CLT), Food Science Technician, Lab Tech (Laboratory Technician), Laboratory Assistant (Lab Assistant), Operations Technician, Quality Analyst, Quality Assurance Analyst (QA Analyst), Quality Control Technician (QC Technician), Quality Technician, Technical Services Analyst
Animal Scientists	Animal Scientists	Conduct research in the genetics, nutrition, reproduction, growth, and development of domestic farm animals.	Animal Nutrition Consultant, Animal Nutritionist, Animal Scientist, Beef Cattle Specialist, Dairy Nutrition Consultant, Nutritionist, Research and Development Director (R&D Director), Research Center Partner, Research Nutritionist, Research Scientist
Anthropologists	Anthropologists	Research, evaluate, and establish public policy concerning the origins of humans; their physical, social, linguistic, and cultural development; and their behavior, as well as the cultures, organizations, and institutions they have created.	American Indian Policy Specialist, Anthropologist, Anthropology Instructor, Applied Anthropologist, Behavioral Scientist, Medical Anthropology Director, Professor, Professor of Anthropology, Researcher, Scientist
Anthropologists and Archeologists	Anthropologists and Archeologists	Study the origin, development, and behavior of human beings. May study the way of life, language, or physical characteristics of people in various parts of the world. May engage in systematic recovery and examination of material evidence, such as tools or pottery remaining from past human cultures, in order to determine the history, customs, and living habits of earlier civilizations.	none
Archeologists	Archeologists	Conduct research to reconstruct record of past human life and culture from human remains, artifacts, architectural features, and structures recovered through excavation, underwater recovery, or other means of discovery.	Archaeologist, Associate Director, Curator, Director of Research Center, Principal Archaeologist, Project Director, Research Archaeologist
Astronomers	Astronomers	Observe, research, and interpret astronomical phenomena to increase basic knowledge or apply such information to practical problems.	Assistant Professor, Associate Professor, Astronomer, Astronomy Professor, Astrophysicist, Lunar and Planetary Institute Director, Physics and Astronomy Professor, Professor, Research Scientist, Scientist
Atmospheric and Space Scientists	Atmospheric and Space Scientists	Investigate atmospheric phenomena and interpret meteorological data, gathered by surface and air stations, satellites, and radar to prepare reports and forecasts for public and other uses. Includes weather analysts and forecasters whose functions require the detailed knowledge of meteorology.	Broadcast Meteorologist, Chief Meteorologist, Forecaster, General Forecaster, Hydrometeorological Technician, Meteorologist, Meteorologist-in-Charge, Science and Operations Officer (SOO), Warning Coordination Meteorologist, Weather Forecaster
Biochemists and Biophysicists	Biochemists and Biophysicists	Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.	Analytical Research Chemist, Chief Scientific Officer, Director of the Biophysics Facility, Laboratory Director, Professor of Physics/Researcher in Biophysics, Research Assistant, Research Associate, Research Scientist, Scientist
Bioinformatics Scientists	Bioinformatics Scientists	Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.	Bioinformaticist; Bioinformatics Scientist; Director of Bioinformatics and Trait Discovery; Director of Translation and Experimental Medicine Bioinformatics; Director, Informatics; Research Scientist; Scientific Database Curator; Scientific Informatics Project Leader; Senior Research Associate; Senior Scientist
Biological Scientists, All Other	Biological Scientists, All Other	All biological scientists not listed separately.	none
Geneticists	Geneticists	Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.	Associate Genetics Professor, Biochemical Genetics Laboratory Director, Clinical Cytogenetics Director, Clinical Genetics Laboratory Chief, Clinical Molecular Genetics Laboratory Director, Laboratory Director, Medical Geneticist, Medical Genetics Director, Research Scientist, Scientist
Molecular and Cellular Biologists	Molecular and Cellular Biologists	Research and study cellular molecules and organelles to understand cell function and organization.	Molecular Biology Director, Molecular Biology Professor
Biological Technicians	Biological Technicians	Assist biological and medical scientists in laboratories. Set up, operate, and maintain laboratory instruments and equipment, monitor experiments, make observations, and calculate and record results. May analyze organic substances, such as blood, food, and drugs.	Biological Science Laboratory Technician, Biological Technician, Environmental Technician, Laboratory Technician, Research Assistant, Research Associate, Research Specialist, Research Technician, Resource Biologist, Wildlife Biology Technician
Chemical Technicians	Chemical Technicians	Conduct chemical and physical laboratory tests to assist scientists in making qualitative and quantitative analyses of solids, liquids, and gaseous materials for research and development of new products or processes, quality control, maintenance of environmental standards, and other work involving experimental, theoretical, or practical application of chemistry and related sciences.	Chemical Analyst, Chemical Technician, Formulation Technician, Laboratory Analyst (Lab Analyst), Laboratory Technician (Lab Tech), Laboratory Tester (Lab Tester), Organic Preparation Analyst (Organic Prep Analyst), Quality Control Technician (QC Technician), Research Technician, Water Quality Technician
Chemists	Chemists	Conduct qualitative and quantitative chemical analyses or experiments in laboratories for quality or process control or to develop new products or knowledge.	Air Quality Chemist, Analytical Chemist, Chemical Laboratory Scientist, Chemist, Forensic Chemist, Forensic Scientist, Quality Control Chemist (QC Chemist), Research Chemist, Scientist, Senior Chemist
City and Regional Planning Aides	City and Regional Planning Aides	Compile data from various sources, such as maps, reports, and field and file investigations, for use by city planner in making planning studies.	Community Planner, Development and Housing Director, Development Technician, Engineering Technician, Planner, Planning Aide, Planning Assistant, Planning Intern, Planning Technician, Zoning Technician
Social Science Research Assistants	Social Science Research Assistants	Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.	Graduate Assistant, Graduate Research Assistant, Project Director, Project Manager, Research Analyst, Research Assistant, Research Associate, Research Specialist, Social Research Assistant, Survey Analyst
Climate Change Analysts	Climate Change Analysts	Research and analyze policy developments related to climate change. Make climate-related recommendations for actions such as legislation, awareness campaigns, or fundraising approaches.	Principal Scientist; Research Associate, Policy; Scientist; Senior Advisor; Senior Advocate; Senior Associate, Climate and Energy Program; Senior Climate Advisor; Senior Policy Analyst; Senior Policy Associate; Staff Climate Scientist
Environmental Restoration Planners	Environmental Restoration Planners	Collaborate with field and biology staff to oversee the implementation of restoration projects and to develop new products. Process and synthesize complex scientific data into practical strategies for restoration, monitoring or management.	Coastal and Estuary Specialist; Director, Forest Restoration Institute; Director, River Restoration; Executive Director; Fish and Wildlife Biologist, Endangered Species Conservation and Recovery; Fisheries Habitat Restoration Specialist; Marine Habitat Resource Specialist; Program Manager, Environmental Planning; Project Manager; Watershed Coordinator
Environmental Scientists and Specialists, Including Health	Environmental Scientists and Specialists, Including Health	Conduct research or perform investigation for the purpose of identifying, abating, or eliminating sources of pollutants or hazards that affect either the environment or the health of the population. Using knowledge of various scientific disciplines, may collect, synthesize, study, report, and recommend action based on data derived from measurements or observations of air, food, soil, water, and other sources.	Environmental Analyst, Environmental Health and Safety Specialist, Environmental Programs Specialist, Environmental Protection Specialist, Environmental Scientist, Environmental Specialist, Hazardous Substances Scientist, Registered Environmental Health Specialist (REHS), Research Environmental Scientist, Senior Environmental Scientist
Industrial Ecologists	Industrial Ecologists	Apply principles and processes of natural ecosystems to develop models for efficient industrial systems. Use knowledge from the physical and social sciences to maximize effective use of natural resources in the production and use of goods and services. Examine societal issues and their relationship with both technical systems and the environment.	Ecologist, Environmental Consultant, Environmental Programs Manager, Environmental Protection Agency Counselor, Environmental Services Director, Environmental Sustainability Manager, Research Environmental Engineer, Research Scientist, Researcher
Clinical Psychologists	Clinical Psychologists	Diagnose or evaluate mental and emotional disorders of individuals through observation, interview, and psychological tests, and formulate and administer programs of treatment.	Child Psychologist, Clinical Director, Clinical Psychologist, Clinical Therapist, Forensic Psychologist, Licensed Clinical Psychologist, Licensed Psychologist, Licensed Psychologist Manager, Pediatric Psychologist, Psychologist
Clinical, Counseling, and School Psychologists	Clinical, Counseling, and School Psychologists	Diagnose and treat mental disorders; learning disabilities; and cognitive, behavioral, and emotional problems, using individual, child, family, and group therapies. May design and implement behavior modification programs.	none
Counseling Psychologists	Counseling Psychologists	Assess and evaluate individuals' problems through the use of case history, interview, and observation and provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment.	Applied Behavior Science Specialist (ABSS), Chemical Dependency Therapist, Counseling Psychologist, Counseling Services Director, Counselor, Licensed Professional Counselor (LPC), Psychologist, Psychotherapist, Senior Staff Psychologist, Staff Psychologist
School Psychologists	School Psychologists	Investigate processes of learning and teaching and develop psychological principles and techniques applicable to educational problems.	Bilingual School Psychologist, Child Study Team Director, Consulting Psychologist, Early Intervention School Psychologist, Psychologist, School Psychologist, School Psychometrist
Conservation Scientists	Conservation Scientists	Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.	none
Park Naturalists	Park Naturalists	Plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park.	Education Specialist, Environmental Education Specialist, Environmental Educator, Interpretive Naturalist, Naturalist, Park Activities Coordinator, Park Interpretive Specialist, Park Naturalist, Park Ranger, Program Production Specialist
Range Managers	Range Managers	Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.	Conservationist, Grassland Conservationist, Habitat Management Coordinator, Land Management Supervisor, Natural Resource Manager, Natural Resource Specialist, Range Technician, Rangeland Management Specialist, Resource Manager, Wildlife Manager
Soil and Water Conservationists	Soil and Water Conservationists	Plan or develop coordinated practices for soil erosion control, soil or water conservation, or sound land use.	Conservationist, Environmental Analyst, Erosion Control Specialist, Land Manager, Land Reclamation Specialist, Land Resource Specialist, Resource Conservation Specialist, Resource Conservationist, Soil Conservationist, Watershed Program Manager
Economists	Economists	Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods.	Economic Analysis Director, Economic Analyst, Economic Consultant, Economist, Forensic Economist, Health Researcher, Professor, Professor of Economics, Project Economist, Research Analyst
Environmental Economists	Environmental Economists	Conduct economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources. Evaluate and quantify benefits, costs, incentives, and impacts of alternative options using economic principles and statistical techniques.	Economist, Environmental Economist, Natural Resource Economist, Principal Associate, Principal Research Economist, Resource Economist, Senior Economist
Environmental Science and Protection Technicians, Including Health	Environmental Science and Protection Technicians, Including Health	Perform laboratory and field tests to monitor the environment and investigate sources of pollution, including those that affect health, under the direction of an environmental scientist, engineer, or other specialist. May collect samples of gases, soil, water, and other materials for testing.	Environmental Health Specialist, Environmental Specialist, Environmental Technician, Laboratory Specialist, Laboratory Technician, Process Laboratory Specialist, Public Health Sanitarian, Sanitarian, Water Quality Analyst, Water Quality Specialist
