	Code	Occupation_x	Job Family	Career Cluster	Career Pathway	Occupation_y	fullCode	SCode	word_tokens	Title	summary	sampleTitles	summary_tokens	sampleT_tokens
631	19-1031	Soil and Water Conservationists  	Life, Physical, and Social Science	Science, Technology, Engineering & Mathematics	Science and Mathematics	Soil and Water Conservationists	19-1031.01	.01	['Soil', 'and', 'Water', 'Conservationists']	Conservation Scientists	Plan or develop coordinated practices for soil erosion control, soil or water conservation, or sound land use.	Conservationist, Environmental Analyst, Erosion Control Specialist, Land Manager, Land Reclamation Specialist, Land Resource Specialist, Resource Conservation Specialist, Resource Conservationist, Soil Conservationist, Watershed Program Manager	['Plan', 'or', 'develop', 'coordinated', 'practices', 'for', 'soil', 'erosion', 'control', 'soil', 'or', 'water', 'conservation', 'or', 'sound', 'land', 'use']	['Conservationist', 'Environmental', 'Analyst', 'Erosion', 'Control', 'Specialist', 'Land', 'Manager', 'Land', 'Reclamation', 'Specialist', 'Land', 'Resource', 'Specialist', 'Resource', 'Conservation', 'Specialist', 'Resource', 'Conservationist', 'Soil', 'Conservationist', 'Watershed', 'Program', 'Manager']
632	19-3011	Economists	Life, Physical, and Social Science	Science, Technology, Engineering & Mathematics	Science and Mathematics	Economists	19-3011.00	.00	['Economists']	Economists	Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods.	Economic Analysis Director, Economic Analyst, Economic Consultant, Economist, Forensic Economist, Health Researcher, Professor, Professor of Economics, Project Economist, Research Analyst	['Conduct', 'research', 'prepare', 'reports', 'or', 'formulate', 'plans', 'to', 'address', 'economic', 'problems', 'related', 'to', 'the', 'production', 'and', 'distribution', 'of', 'goods', 'and', 'services', 'or', 'monetary', 'and', 'fiscal', 'policy', 'May', 'collect', 'and', 'process', 'economic', 'and', 'statistical', 'data', 'using', 'sampling', 'techniques', 'and', 'econometric', 'methods']	['Economic', 'Analysis', 'Director', 'Economic', 'Analyst', 'Economic', 'Consultant', 'Economist', 'Forensic', 'Economist', 'Health', 'Researcher', 'Professor', 'Professor', 'of', 'Economics', 'Project', 'Economist', 'Research', 'Analyst']
633	19-3011	Environmental Economists    	Life, Physical, and Social Science	Science, Technology, Engineering & Mathematics	Science and Mathematics	Environmental Economists	19-3011.01	.01	['Environmental', 'Economists']	Economists	Conduct economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources. Evaluate and quantify benefits, costs, incentives, and impacts of alternative options using economic principles and statistical techniques.	Economist, Environmental Economist, Natural Resource Economist, Principal Associate, Principal Research Economist, Resource Economist, Senior Economist	['Conduct', 'economic', 'analysis', 'related', 'to', 'environmental', 'protection', 'and', 'use', 'of', 'the', 'natural', 'environment', 'such', 'as', 'water', 'air', 'land', 'and', 'renewable', 'energy', 'resources', 'Evaluate', 'and', 'quantify', 'benefits', 'costs', 'incentives', 'and', 'impacts', 'of', 'alternative', 'options', 'using', 'economic', 'principles', 'and', 'statistical', 'techniques']	['Economist', 'Environmental', 'Economist', 'Natural', 'Resource', 'Economist', 'Principal', 'Associate', 'Principal', 'Research', 'Economist', 'Resource', 'Economist', 'Senior', 'Economist']
634	19-4091	Environmental Science and Protection Technicians, Including Health 	Life, Physical, and Social Science	Agriculture, Food & Natural Resources	Environmental Service Systems	Environmental Science and Protection Technicians, Including Health	19-4091.00	.00	['Environmental', 'Science', 'and', 'Protection', 'Technicians', 'Including', 'Health']	Environmental Science and Protection Technicians, Including Health	Perform laboratory and field tests to monitor the environment and investigate sources of pollution, including those that affect health, under the direction of an environmental scientist, engineer, or other specialist. May collect samples of gases, soil, water, and other materials for testing.	Environmental Health Specialist, Environmental Specialist, Environmental Technician, Laboratory Specialist, Laboratory Technician, Process Laboratory Specialist, Public Health Sanitarian, Sanitarian, Water Quality Analyst, Water Quality Specialist	['Perform', 'laboratory', 'and', 'field', 'tests', 'to', 'monitor', 'the', 'environment', 'and', 'investigate', 'sources', 'of', 'pollution', 'including', 'those', 'that', 'affect', 'health', 'under', 'the', 'direction', 'of', 'an', 'environmental', 'scientist', 'engineer', 'or', 'other', 'specialist', 'May', 'collect', 'samples', 'of', 'gases', 'soil', 'water', 'and', 'other', 'materials', 'for', 'testing']	['Environmental', 'Health', 'Specialist', 'Environmental', 'Specialist', 'Environmental', 'Technician', 'Laboratory', 'Specialist', 'Laboratory', 'Technician', 'Process', 'Laboratory', 'Specialist', 'Public', 'Health', 'Sanitarian', 'Sanitarian', 'Water', 'Quality', 'Analyst', 'Water', 'Quality', 'Specialist']
635	19-1041	Epidemiologists	Life, Physical, and Social Science	Health Science	Diagnostic Services	Epidemiologists	19-1041.00	.00	['Epidemiologists']	Epidemiologists	Investigate and describe the determinants and distribution of disease, disability, or health outcomes. May develop the means for prevention and control.	Chronic Disease Epidemiologist, Communicable Disease Specialist, Environmental Epidemiologist, Epidemiologist, Epidemiology Investigator, Infection Control Practitioner (ICP), Nurse Epidemiologist, Public Health Epidemiologist, Research Epidemiologist, State Epidemiologist	['Investigate', 'and', 'describe', 'the', 'determinants', 'and', 'distribution', 'of', 'disease', 'disability', 'or', 'health', 'outcomes', 'May', 'develop', 'the', 'means', 'for', 'prevention', 'and', 'control']	['Chronic', 'Disease', 'Epidemiologist', 'Communicable', 'Disease', 'Specialist', 'Environmental', 'Epidemiologist', 'Epidemiologist', 'Epidemiology', 'Investigator', 'Infection', 'Control', 'Practitioner', 'ICP', 'Nurse', 'Epidemiologist', 'Public', 'Health', 'Epidemiologist', 'Research', 'Epidemiologist', 'State', 'Epidemiologist']
636	19-1012	Food Scientists and Technologists	Life, Physical, and Social Science	Agriculture, Food & Natural Resources	Food Products and Processing Systems	Food Scientists and Technologists	19-1012.00	.00	['Food', 'Scientists', 'and', 'Technologists']	Food Scientists and Technologists	Use chemistry, microbiology, engineering, and other sciences to study the principles underlying the processing and deterioration of foods; analyze food content to determine levels of vitamins, fat, sugar, and protein; discover new food sources; research ways to make processed foods safe, palatable, and healthful; and apply food science knowledge to determine best ways to process, package, preserve, store, and distribute food.	Food Science Professor, Food Scientist, Food Technologist, Product Development Manager, Product Development Scientist, Professor, Quality Assurance Manager (QA Manager), Research and Development Director (R & D Director), Research and Development Manager (R & D Manager), Research Scientist	['Use', 'chemistry', 'microbiology', 'engineering', 'and', 'other', 'sciences', 'to', 'study', 'the', 'principles', 'underlying', 'the', 'processing', 'and', 'deterioration', 'of', 'foods', 'analyze', 'food', 'content', 'to', 'determine', 'levels', 'of', 'vitamins', 'fat', 'sugar', 'and', 'protein', 'discover', 'new', 'food', 'sources', 'research', 'ways', 'to', 'make', 'processed', 'foods', 'safe', 'palatable', 'and', 'healthful', 'and', 'apply', 'food', 'science', 'knowledge', 'to', 'determine', 'best', 'ways', 'to', 'process', 'package', 'preserve', 'store', 'and', 'distribute', 'food']	['Food', 'Science', 'Professor', 'Food', 'Scientist', 'Food', 'Technologist', 'Product', 'Development', 'Manager', 'Product', 'Development', 'Scientist', 'Professor', 'Quality', 'Assurance', 'Manager', 'QA', 'Manager', 'Research', 'and', 'Development', 'Director', 'R', 'D', 'Director', 'Research', 'and', 'Development', 'Manager', 'R', 'D', 'Manager', 'Research', 'Scientist']
637	19-4092	Forensic Science Technicians  	Life, Physical, and Social Science	Law, Public Safety, Corrections & Security	Law Enforcement Services	Forensic Science Technicians	19-4092.00	.00	['Forensic', 'Science', 'Technicians']	Forensic Science Technicians	Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry.	Crime Laboratory Analyst, Crime Scene Analyst, Crime Scene Technician (Crime Scene Tech), CSI (Crime Scene Investigator), Evidence Technician, Forensic Science Examiner, Forensic Scientist, Forensic Specialist, Latent Fingerprint Examiner, Latent Print Examiner	['Collect', 'identify', 'classify', 'and', 'analyze', 'physical', 'evidence', 'related', 'to', 'criminal', 'investigations', 'Perform', 'tests', 'on', 'weapons', 'or', 'substances', 'such', 'as', 'fiber', 'hair', 'and', 'tissue', 'to', 'determine', 'significance', 'to', 'investigation', 'May', 'testify', 'as', 'expert', 'witnesses', 'on', 'evidence', 'or', 'crime', 'laboratory', 'techniques', 'May', 'serve', 'as', 'specialists', 'in', 'area', 'of', 'expertise', 'such', 'as', 'ballistics', 'fingerprinting', 'handwriting', 'or', 'biochemistry']	['Crime', 'Laboratory', 'Analyst', 'Crime', 'Scene', 'Analyst', 'Crime', 'Scene', 'Technician', 'Crime', 'Scene', 'Tech', 'CSI', 'Crime', 'Scene', 'Investigator', 'Evidence', 'Technician', 'Forensic', 'Science', 'Examiner', 'Forensic', 'Scientist', 'Forensic', 'Specialist', 'Latent', 'Fingerprint', 'Examiner', 'Latent', 'Print', 'Examiner']
638	19-4093	Forest and Conservation Technicians  	Life, Physical, and Social Science	Agriculture, Food & Natural Resources	Natural Resources Systems	Forest and Conservation Technicians	19-4093.00	.00	['Forest', 'and', 'Conservation', 'Technicians']	Forest and Conservation Technicians	Provide technical assistance regarding the conservation of soil, water, forests, or related natural resources. May compile data pertaining to size, content, condition, and other characteristics of forest tracts, under the direction of foresters; or train and lead forest workers in forest propagation, fire prevention and suppression. May assist conservation scientists in managing, improving, and protecting rangelands and wildlife habitats.	Conservationist, Fire Technician, Forest Ranger, Forest Technician, Forestry Aide, Forestry Technician, Natural Resources Technician, Resource Manager, Resource Technician, Wildlife Technician	['Provide', 'technical', 'assistance', 'regarding', 'the', 'conservation', 'of', 'soil', 'water', 'forests', 'or', 'related', 'natural', 'resources', 'May', 'compile', 'data', 'pertaining', 'to', 'size', 'content', 'condition', 'and', 'other', 'characteristics', 'of', 'forest', 'tracts', 'under', 'the', 'direction', 'of', 'foresters', 'or', 'train', 'and', 'lead', 'forest', 'workers', 'in', 'forest', 'propagation', 'fire', 'prevention', 'and', 'suppression', 'May', 'assist', 'conservation', 'scientists', 'in', 'managing', 'improving', 'and', 'protecting', 'rangelands', 'and', 'wildlife', 'habitats']	['Conservationist', 'Fire', 'Technician', 'Forest', 'Ranger', 'Forest', 'Technician', 'Forestry', 'Aide', 'Forestry', 'Technician', 'Natural', 'Resources', 'Technician', 'Resource', 'Manager', 'Resource', 'Technician', 'Wildlife', 'Technician']
639	19-1032	Foresters	Life, Physical, and Social Science	Agriculture, Food & Natural Resources	Natural Resources Systems	Foresters	19-1032.00	.00	['Foresters']	Foresters	Manage public and private forested lands for economic, recreational, and conservation purposes. May inventory the type, amount, and location of standing timber, appraise the timber's worth, negotiate the purchase, and draw up contracts for procurement. May determine how to conserve wildlife habitats, creek beds, water quality, and soil stability, and how best to comply with environmental regulations. May devise plans for planting and growing new trees, monitor trees for healthy growth, and determine optimal harvesting schedules.	Area Forester, Chief Unit Forester, Environmental Protection Forester, Fire Prevention Forester, Forest Practices Field Coordinator, Forester, Regional Forester, Resource Forester, Silviculturist, Urban Forester	"['Manage', 'public', 'and', 'private', 'forested', 'lands', 'for', 'economic', 'recreational', 'and', 'conservation', 'purposes', 'May', 'inventory', 'the', 'type', 'amount', 'and', 'location', 'of', 'standing', 'timber', 'appraise', 'the', ""timber's"", 'worth', 'negotiate', 'the', 'purchase', 'and', 'draw', 'up', 'contracts', 'for', 'procurement', 'May', 'determine', 'how', 'to', 'conserve', 'wildlife', 'habitats', 'creek', 'beds', 'water', 'quality', 'and', 'soil', 'stability', 'and', 'how', 'best', 'to', 'comply', 'with', 'environmental', 'regulations', 'May', 'devise', 'plans', 'for', 'planting', 'and', 'growing', 'new', 'trees', 'monitor', 'trees', 'for', 'healthy', 'growth', 'and', 'determine', 'optimal', 'harvesting', 'schedules']"	['Area', 'Forester', 'Chief', 'Unit', 'Forester', 'Environmental', 'Protection', 'Forester', 'Fire', 'Prevention', 'Forester', 'Forest', 'Practices', 'Field', 'Coordinator', 'Forester', 'Regional', 'Forester', 'Resource', 'Forester', 'Silviculturist', 'Urban', 'Forester']
640	19-3092	Geographers	Life, Physical, and Social Science	Science, Technology, Engineering & Mathematics	Science and Mathematics	Geographers	19-3092.00	.00	['Geographers']	Geographers	Study the nature and use of areas of the Earth's surface, relating and interpreting interactions of physical and cultural phenomena. Conduct research on physical aspects of a region, including land forms, climates, soils, plants, and animals, and conduct research on the spatial implications of human activities within a given area, including social characteristics, economic activities, and political organization, as well as researching interdependence between regions at scales ranging from local to global.	Earth Observations Chief Scientist (NASA), Environmental Affairs Corporate Director, Geographic Information Systems Analyst (GIS Analyst), Geographic Information Systems Program Director (GIS Program Director), GIS Geographer (Geographic Information Systems Geographer), GIS Physical Scientist (Geographic Information Systems Physical Scientist), Research Coordinator, Scientist, Supervisory Geographer	"['Study', 'the', 'nature', 'and', 'use', 'of', 'areas', 'of', 'the', ""Earth's"", 'surface', 'relating', 'and', 'interpreting', 'interactions', 'of', 'physical', 'and', 'cultural', 'phenomena', 'Conduct', 'research', 'on', 'physical', 'aspects', 'of', 'a', 'region', 'including', 'land', 'forms', 'climates', 'soils', 'plants', 'and', 'animals', 'and', 'conduct', 'research', 'on', 'the', 'spatial', 'implications', 'of', 'human', 'activities', 'within', 'a', 'given', 'area', 'including', 'social', 'characteristics', 'economic', 'activities', 'and', 'political', 'organization', 'as', 'well', 'as', 'researching', 'interdependence', 'between', 'regions', 'at', 'scales', 'ranging', 'from', 'local', 'to', 'global']"	['Earth', 'Observations', 'Chief', 'Scientist', 'NASA', 'Environmental', 'Affairs', 'Corporate', 'Director', 'Geographic', 'Information', 'Systems', 'Analyst', 'GIS', 'Analyst', 'Geographic', 'Information', 'Systems', 'Program', 'Director', 'GIS', 'Program', 'Director', 'GIS', 'Geographer', 'Geographic', 'Information', 'Systems', 'Geographer', 'GIS', 'Physical', 'Scientist', 'Geographic', 'Information', 'Systems', 'Physical', 'Scientist', 'Research', 'Coordinator', 'Scientist', 'Supervisory', 'Geographer']
641	19-4041	Geological and Petroleum Technicians	Life, Physical, and Social Science	Agriculture, Food & Natural Resources	Natural Resources Systems	Geological and Petroleum Technicians	19-4041.00	.00	['Geological', 'and', 'Petroleum', 'Technicians']	Geological and Petroleum Technicians	Assist scientists or engineers in the use of electronic, sonic, or nuclear measuring instruments in both laboratory and production activities to obtain data indicating potential resources such as metallic ore, minerals, gas, coal, or petroleum. Analyze mud and drill cuttings. Chart pressure, temperature, and other characteristics of wells or bore holes. Investigate and collect information leading to the possible discovery of new metallic ore, minerals, gas, coal, or petroleum deposits.	f more specific occupations. For additional information, please select one of the specific occupations below.	['Assist', 'scientists', 'or', 'engineers', 'in', 'the', 'use', 'of', 'electronic', 'sonic', 'or', 'nuclear', 'measuring', 'instruments', 'in', 'both', 'laboratory', 'and', 'production', 'activities', 'to', 'obtain', 'data', 'indicating', 'potential', 'resources', 'such', 'as', 'metallic', 'ore', 'minerals', 'gas', 'coal', 'or', 'petroleum', 'Analyze', 'mud', 'and', 'drill', 'cuttings', 'Chart', 'pressure', 'temperature', 'and', 'other', 'characteristics', 'of', 'wells', 'or', 'bore', 'holes', 'Investigate', 'and', 'collect', 'information', 'leading', 'to', 'the', 'possible', 'discovery', 'of', 'new', 'metallic', 'ore', 'minerals', 'gas', 'coal', 'or', 'petroleum', 'deposits']	['f', 'more', 'specific', 'occupations', 'For', 'additional', 'information', 'please', 'select', 'one', 'of', 'the', 'specific', 'occupations', 'below']
642	19-4041	Geological Sample Test Technicians  	Life, Physical, and Social Science	Agriculture, Food & Natural Resources	Natural Resources Systems	Geological Sample Test Technicians	19-4041.02	.02	['Geological', 'Sample', 'Test', 'Technicians']	Geological and Petroleum Technicians	Test or analyze geological samples, crude oil, or minerals to detect presence of petroleum, gas, or mineral deposits indicating potential for exploration or production or to determine physical or chemical properties to ensure that products meet quality standards.	Core Inspector, Electron Microprobe Operator, Environmental Field Services Technician, Environmental Sampling Technician, Laboratory Technician, Materials Technician, Organic Section Technical Lead, Physical Science Technician, Quality Control Technician (QC Technician), Research Associate	['Test', 'or', 'analyze', 'geological', 'samples', 'crude', 'oil', 'or', 'minerals', 'to', 'detect', 'presence', 'of', 'petroleum', 'gas', 'or', 'mineral', 'deposits', 'indicating', 'potential', 'for', 'exploration', 'or', 'production', 'or', 'to', 'determine', 'physical', 'or', 'chemical', 'properties', 'to', 'ensure', 'that', 'products', 'meet', 'quality', 'standards']	['Core', 'Inspector', 'Electron', 'Microprobe', 'Operator', 'Environmental', 'Field', 'Services', 'Technician', 'Environmental', 'Sampling', 'Technician', 'Laboratory', 'Technician', 'Materials', 'Technician', 'Organic', 'Section', 'Technical', 'Lead', 'Physical', 'Science', 'Technician', 'Quality', 'Control', 'Technician', 'QC', 'Technician', 'Research', 'Associate']
643	19-4041	Geophysical Data Technicians  	Life, Physical, and Social Science	Agriculture, Food & Natural Resources	Natural Resources Systems	Geophysical Data Technicians	19-4041.01	.01	['Geophysical', 'Data', 'Technicians']	Geological and Petroleum Technicians	Measure, record, or evaluate geological data, using sonic, electronic, electrical, seismic, or gravity-measuring instruments to prospect for oil or gas. May collect or evaluate core samples or cuttings.	Exploration Manager, Field Engineer, Geological E-Logger, Geological Technician, Geoscience Technician, Geoscientist, Geotechnician, Observer, Soils Technician, Technical Assistant	['Measure', 'record', 'or', 'evaluate', 'geological', 'data', 'using', 'sonic', 'electronic', 'electrical', 'seismic', 'or', 'gravity', 'measuring', 'instruments', 'to', 'prospect', 'for', 'oil', 'or', 'gas', 'May', 'collect', 'or', 'evaluate', 'core', 'samples', 'or', 'cuttings']	['Exploration', 'Manager', 'Field', 'Engineer', 'Geological', 'E', 'Logger', 'Geological', 'Technician', 'Geoscience', 'Technician', 'Geoscientist', 'Geotechnician', 'Observer', 'Soils', 'Technician', 'Technical', 'Assistant']
644	19-2042	Geoscientists, Except Hydrologists and Geographers  	Life, Physical, and Social Science	Science, Technology, Engineering & Mathematics	Science and Mathematics	Geoscientists, Except Hydrologists and Geographers	19-2042.00	.00	['Geoscientists', 'Except', 'Hydrologists', 'and', 'Geographers']	Geoscientists, Except Hydrologists and Geographers	Study the composition, structure, and other physical aspects of the Earth. May use geological, physics, and mathematics knowledge in exploration for oil, gas, minerals, or underground water; or in waste disposal, land reclamation, or other environmental problems. May study the Earth's internal composition, atmospheres, oceans, and its magnetic, electrical, and gravitational forces. Includes mineralogists, crystallographers, paleontologists, stratigraphers, geodesists, and seismologists.	Engineering Geologist, Environmental Protection Geologist, Exploration Geologist, Geological Specialist, Geologist, Geophysicist, Geoscientist, Mine Geologist, Petroleum Geologist, Project Geologist	"['Study', 'the', 'composition', 'structure', 'and', 'other', 'physical', 'aspects', 'of', 'the', 'Earth', 'May', 'use', 'geological', 'physics', 'and', 'mathematics', 'knowledge', 'in', 'exploration', 'for', 'oil', 'gas', 'minerals', 'or', 'underground', 'water', 'or', 'in', 'waste', 'disposal', 'land', 'reclamation', 'or', 'other', 'environmental', 'problems', 'May', 'study', 'the', ""Earth's"", 'internal', 'composition', 'atmospheres', 'oceans', 'and', 'its', 'magnetic', 'electrical', 'and', 'gravitational', 'forces', 'Includes', 'mineralogists', 'crystallographers', 'paleontologists', 'stratigraphers', 'geodesists', 'and', 'seismologists']"	['Engineering', 'Geologist', 'Environmental', 'Protection', 'Geologist', 'Exploration', 'Geologist', 'Geological', 'Specialist', 'Geologist', 'Geophysicist', 'Geoscientist', 'Mine', 'Geologist', 'Petroleum', 'Geologist', 'Project', 'Geologist']
645	19-3093	Historians	Life, Physical, and Social Science	Science, Technology, Engineering & Mathematics	Science and Mathematics	Historians	19-3093.00	.00	['Historians']	Historians	Research, analyze, record, and interpret the past as recorded in sources, such as government and institutional records, newspapers and other periodicals, photographs, interviews, films, electronic media, and unpublished manuscripts, such as personal diaries and letters.	Administrative Volunteer, County Historian, County Records Management Officer (County RMO), Historian, Historic Interpreter, Historic Sites Registrar, Historical Interpreter, Programs Director, Research Associate, Researcher	['Research', 'analyze', 'record', 'and', 'interpret', 'the', 'past', 'as', 'recorded', 'in', 'sources', 'such', 'as', 'government', 'and', 'institutional', 'records', 'newspapers', 'and', 'other', 'periodicals', 'photographs', 'interviews', 'films', 'electronic', 'media', 'and', 'unpublished', 'manuscripts', 'such', 'as', 'personal', 'diaries', 'and', 'letters']	['Administrative', 'Volunteer', 'County', 'Historian', 'County', 'Records', 'Management', 'Officer', 'County', 'RMO', 'Historian', 'Historic', 'Interpreter', 'Historic', 'Sites', 'Registrar', 'Historical', 'Interpreter', 'Programs', 'Director', 'Research', 'Associate', 'Researcher']
646	19-2043	Hydrologists  	Life, Physical, and Social Science	Science, Technology, Engineering & Mathematics	Science and Mathematics	Hydrologists	19-2043.00	.00	['Hydrologists']	Hydrologists	Research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation, its rate of infiltration into the soil, movement through the earth, and its return to the ocean and atmosphere.	Assistant Groundwater Engineer, Environmental Consultant, Groundwater Consultant, Groundwater Programs Director, Hydraulic Engineer, Hydrogeologist, Hydrologic Engineer, Hydrologist, Professor, Research Hydrologist	['Research', 'the', 'distribution', 'circulation', 'and', 'physical', 'properties', 'of', 'underground', 'and', 'surface', 'waters', 'and', 'study', 'the', 'form', 'and', 'intensity', 'of', 'precipitation', 'its', 'rate', 'of', 'infiltration', 'into', 'the', 'soil', 'movement', 'through', 'the', 'earth', 'and', 'its', 'return', 'to', 'the', 'ocean', 'and', 'atmosphere']	['Assistant', 'Groundwater', 'Engineer', 'Environmental', 'Consultant', 'Groundwater', 'Consultant', 'Groundwater', 'Programs', 'Director', 'Hydraulic', 'Engineer', 'Hydrogeologist', 'Hydrologic', 'Engineer', 'Hydrologist', 'Professor', 'Research', 'Hydrologist']
647	19-3032	Industrial-Organizational Psychologists  	Life, Physical, and Social Science	Human Services	Counseling & Mental Health Services	Industrial-Organizational Psychologists	19-3032.00	.00	['Industrial', 'Organizational', 'Psychologists']	Industrial-Organizational Psychologists	Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity.	Assessment Services Manager, Consultant, Consulting Psychologist, Industrial Psychologist, Industrial/Organizational Psychologist (I/O Psychologist), Management Consultant, Organizational Consultant, Organizational Development Consultant, Organizational Psychologist, Research Scientist	['Apply', 'principles', 'of', 'psychology', 'to', 'human', 'resources', 'administration', 'management', 'sales', 'and', 'marketing', 'problems', 'Activities', 'may', 'include', 'policy', 'planning', 'employee', 'testing', 'and', 'selection', 'training', 'and', 'development', 'and', 'organizational', 'development', 'and', 'analysis', 'May', 'work', 'with', 'management', 'to', 'organize', 'the', 'work', 'setting', 'to', 'improve', 'worker', 'productivity']	['Assessment', 'Services', 'Manager', 'Consultant', 'Consulting', 'Psychologist', 'Industrial', 'Psychologist', 'Industrial', 'Organizational', 'Psychologist', 'I', 'O', 'Psychologist', 'Management', 'Consultant', 'Organizational', 'Consultant', 'Organizational', 'Development', 'Consultant', 'Organizational', 'Psychologist', 'Research', 'Scientist']
648	19-1099	Life Scientists, All Other	Life, Physical, and Social Science	Science, Technology, Engineering & Mathematics	Science and Mathematics	Life Scientists, All Other	19-1099.00	.00	['Life', 'Scientists', 'All', 'Other']	Life Scientists, All Other	All life scientists not listed separately.	cupations with a wide range of characteristics which do not fit into one of the detailed O*NET-SOC occupations. O*NET data is not available for this type of title.	['All', 'life', 'scientists', 'not', 'listed', 'separately']	['cupations', 'with', 'a', 'wide', 'range', 'of', 'characteristics', 'which', 'do', 'not', 'fit', 'into', 'one', 'of', 'the', 'detailed', 'O', 'NET', 'SOC', 'occupations', 'O', 'NET', 'data', 'is', 'not', 'available', 'for', 'this', 'type', 'of', 'title']
649	19-4099	Life, Physical, and Social Science Technicians, All Other	Life, Physical, and Social Science	Science, Technology, Engineering & Mathematics	Science and Mathematics	Life, Physical, and Social Science Technicians, All Other	19-4099.00	.00	['Life', 'Physical', 'and', 'Social', 'Science', 'Technicians', 'All', 'Other']	Life, Physical, and Social Science Technicians, All Other	All life, physical, and social science technicians not listed separately.	cupations with a wide range of characteristics which do not fit into one of the detailed O*NET-SOC occupations. O*NET data is not available for this type of title.  For more detailed occupations under this title, see below. 	['All', 'life', 'physical', 'and', 'social', 'science', 'technicians', 'not', 'listed', 'separately']	['cupations', 'with', 'a', 'wide', 'range', 'of', 'characteristics', 'which', 'do', 'not', 'fit', 'into', 'one', 'of', 'the', 'detailed', 'O', 'NET', 'SOC', 'occupations', 'O', 'NET', 'data', 'is', 'not', 'available', 'for', 'this', 'type', 'of', 'title', 'For', 'more', 'detailed', 'occupations', 'under', 'this', 'title', 'see', 'below']
650	19-4099	Precision Agriculture Technicians    	Life, Physical, and Social Science	Science, Technology, Engineering & Mathematics	Science and Mathematics	Precision Agriculture Technicians	19-4099.02	.02	['Precision', 'Agriculture', 'Technicians']	Life, Physical, and Social Science Technicians, All Other	Apply geospatial technologies, including geographic information systems (GIS) and Global Positioning System (GPS), to agricultural production or management activities, such as pest scouting, site-specific pesticide application, yield mapping, or variable-rate irrigation. May use computers to develop or analyze maps or remote sensing images to compare physical topography with data on soils, fertilizer, pests, or weather.	Crop Specialist, Independent Crop Consultant, Nutrient Management Specialist, Physical Scientist, Precision Agriculture Specialist, Precision Agronomist, Precision Farming Coordinator, Regional Agronomist, Research Agricultual Engineer, Soil Fertility Specialist	['Apply', 'geospatial', 'technologies', 'including', 'geographic', 'information', 'systems', 'GIS', 'and', 'Global', 'Positioning', 'System', 'GPS', 'to', 'agricultural', 'production', 'or', 'management', 'activities', 'such', 'as', 'pest', 'scouting', 'site', 'specific', 'pesticide', 'application', 'yield', 'mapping', 'or', 'variable', 'rate', 'irrigation', 'May', 'use', 'computers', 'to', 'develop', 'or', 'analyze', 'maps', 'or', 'remote', 'sensing', 'images', 'to', 'compare', 'physical', 'topography', 'with', 'data', 'on', 'soils', 'fertilizer', 'pests', 'or', 'weather']	['Crop', 'Specialist', 'Independent', 'Crop', 'Consultant', 'Nutrient', 'Management', 'Specialist', 'Physical', 'Scientist', 'Precision', 'Agriculture', 'Specialist', 'Precision', 'Agronomist', 'Precision', 'Farming', 'Coordinator', 'Regional', 'Agronomist', 'Research', 'Agricultual', 'Engineer', 'Soil', 'Fertility', 'Specialist']
651	19-4099	Quality Control Analysts  	Life, Physical, and Social Science	Science, Technology, Engineering & Mathematics	Science and Mathematics	Quality Control Analysts	19-4099.01	.01	['Quality', 'Control', 'Analysts']	Life, Physical, and Social Science Technicians, All Other	Conduct tests to determine quality of raw materials, bulk intermediate and finished products. May conduct stability sample tests.	Analyst Microbiology Lab, Analytical Lab Analyst, Ethanol Quality Leader, Lab Tech, Lab Technician, Laboratory Analyst, Micro Lab Analyst, Quality Assurance Technician, Quality Control Analyst, Quality Control Technician	['Conduct', 'tests', 'to', 'determine', 'quality', 'of', 'raw', 'materials', 'bulk', 'intermediate', 'and', 'finished', 'products', 'May', 'conduct', 'stability', 'sample', 'tests']	['Analyst', 'Microbiology', 'Lab', 'Analytical', 'Lab', 'Analyst', 'Ethanol', 'Quality', 'Leader', 'Lab', 'Tech', 'Lab', 'Technician', 'Laboratory', 'Analyst', 'Micro', 'Lab', 'Analyst', 'Quality', 'Assurance', 'Technician', 'Quality', 'Control', 'Analyst', 'Quality', 'Control', 'Technician']
